theta,phi,meta_energy,para_energy,ortho_energy,ortho_minus_meta_kcalmol,para_minus_meta_kcalmol
0.0000000000,297.3913040000,-3007.8221886998,-3007.8138669126,-3007.8192663184,1.8338220024,5.2220002970
0.0000000000,313.0434780000,-3007.8221886998,-3007.8138669126,-3007.8192663184,1.8338220001,5.2220002970
0.0000000000,328.6956520000,-3007.8221886998,-3007.8138669126,-3007.8192663184,1.8338220004,5.2220002981
0.0000000000,344.3478260000,-3007.8221886998,-3007.8138669126,-3007.8192663184,1.8338220007,5.2220002953
0.0000000000,360.0000000000,-3007.8221886998,-3007.8138669126,-3007.8192663184,1.8338220001,5.2220002950
7.8260870000,0.0000000000,-3007.8150919928,-3007.8009732788,-3007.8186495423,-2.2323960313,8.8596267411
7.8260870000,15.6521740000,-3007.8130966226,-3007.8013770837,-3007.8166083295,-2.2036293491,7.3541216878
7.8260870000,31.3043480000,-3007.8117897944,-3007.8026668831,-3007.8147160020,-1.8362229852,5.7247132755
7.8260870000,46.9565220000,-3007.8113150025,-3007.8047542378,-3007.8131202963,-1.1328389974,4.1169419680
7.8260870000,62.6086960000,-3007.8117286639,-3007.8074916784,-3007.8119514451,-0.1397973143,2.6587485747
7.8260870000,78.2608700000,-3007.8129893281,-3007.8106820319,-3007.8113078186,1.0551631591,1.4478502694
7.8260870000,93.9130430000,-3007.8149621706,-3007.8140916125,-3007.8112435313,2.3334813589,0.5462834155
7.8260870000,109.5652170000,-3007.8174390892,-3007.8174664769,-3007.8117616362,3.5626555400,-0.0171860477
7.8260870000,125.2173910000,-3007.8201711908,-3007.8205508911,-3007.8128138893,4.6167764451,-0.2382654782
7.8260870000,140.8695650000,-3007.8229069219,-3007.8231069621,-3007.8143093730,5.3950433931,-0.1255271581
7.8260870000,156.5217390000,-3007.8254272828,-3007.8249349965,-3007.8161260562,5.8366078406,0.3089143409
7.8260870000,172.1739130000,-3007.8275671914,-3007.8258916207,-3007.8181242871,5.9255119110,1.0514365185
7.8260870000,187.8260870000,-3007.8292240640,-3007.8259037012,-3007.8201582882,5.6888601746,2.0835590835
7.8260870000,203.4782610000,-3007.8303466201,-3007.8249750673,-3007.8220847945,5.1843738340,3.3707002486
7.8260870000,219.1304350000,-3007.8309162618,-3007.8231847286,-3007.8237697613,4.4844967267,4.8516103418
7.8260870000,234.7826090000,-3007.8309280108,-3007.8206772356,-3007.8250948791,3.6603453955,6.4324585156
7.8260870000,250.4347830000,-3007.8303797329,-3007.8176475415,-3007.8259649673,2.7703072428,7.9895707100
7.8260870000,266.0869570000,-3007.8292738238,-3007.8143237547,-3007.8263157527,1.8562176418,9.3813100287
7.8260870000,281.7391300000,-3007.8276300662,-3007.8109494087,-3007.8261202036,0.9474530849,10.4672706113
7.8260870000,297.3913040000,-3007.8255037725,-3007.8077673076,-3007.8253914555,0.0704799879,11.1297997870
7.8260870000,313.0434780000,-3007.8230012368,-3007.8050043125,-3007.8241814356,-0.7405859559,11.2932405002
7.8260870000,328.6956520000,-3007.8202855027,-3007.8028572036,-3007.8225756959,-1.4371179291,10.9364228022
7.8260870000,344.3478260000,-3007.8175684046,-3007.8014799679,-3007.8206874724,-1.9572445745,10.0956464313
7.8260870000,360.0000000000,-3007.8150919928,-3007.8009732788,-3007.8186495423,-2.2323960316,8.8596267411
15.6521740000,0.0000000000,-3007.8077169652,-3007.7882606021,-3007.8173883583,-6.0688908209,12.2090521417
15.6521740000,15.6521740000,-3007.8033347398,-3007.7889923793,-3007.8134672552,-6.3582494459,8.9999670853
15.6521740000,31.3043480000,-3007.8003984219,-3007.7914213351,-3007.8097679769,-5.8794845713,5.6332069856
15.6521740000,46.9565220000,-3007.7992976975,-3007.7953895770,-3007.8065924181,-4.5775062934,2.4523826669
15.6521740000,62.6086960000,-3007.8002013949,-3007.8006240511,-3007.8042357377,-2.5315883069,-0.2652207493
15.6521740000,78.2608700000,-3007.8030176687,-3007.8067539707,-3007.8029371746,0.0505108038,-2.3445649481
15.6521740000,93.9130430000,-3007.8073946145,-3007.8133365317,-3007.8028308906,2.8637799569,-3.7286093567
15.6521740000,109.5652170000,-3007.8127734380,-3007.8198862768,-3007.8039166014,5.5577489110,-4.4633737304
